Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Can be ignored
1609459200000,28923.63000000,29470.00000000,28690.17000000,29409.99000000,7714.87991600,1609466399999,225126647.15815730,162285,4375.40093900,127717534.71843569,0
1609466400000,29410.00000000,29465.26000000,29120.03000000,29278.40000000,3845.57663700,1609473599999,112603430.39893676,100156,1979.34917200,57958297.89140583,0
1609473600000,29278.41000000,29395.00000000,29029.40000000,29187.01000000,3508.00306500,1609480799999,102479176.00788685,97214,1683.18957600,49173572.17267916,0
1609480800000,29187.01000000,29270.00000000,28806.54000000,29092.83000000,3800.90720900,1609487999999,110480632.11308945,99558,1753.86366700,50996780.16240479,0
1609488000000,29092.84000000,29307.73000000,28872.24000000,29202.21000000,4030.22176100,1609495199999,117280702.95960789,98686,2230.54374800,64935165.07822855,0
1609495200000,29202.21000000,29402.57000000,29152.88000000,29313.49000000,4253.48355800,1609502399999,124562833.28833539,96666,2323.55113500,68054525.41908835,0
1609502400000,29313.49000000,29600.00000000,29150.00000000,29464.79000000,6403.21345100,1609509599999,188206450.41460257,134265,3435.71085300,101034801.97768569,0
1609509600000,29464.79000000,29530.00000000,29030.14000000,29188.67000000,5391.73606400,1609516799999,158056365.02130211,135307,2514.38886200,73735315.22993477,0
1609516800000,29188.67000000,29360.00000000,28937.00000000,29079.64000000,3995.30658300,1609523999999,116633832.20987226,99596,1793.43052800,52373032.50247192,0
1609524000000,29077.59000000,29259.98000000,28624.57000000,29029.04000000,5855.65876200,1609531199999,169805294.02670331,137894,2553.58704700,74084397.42855185,0
1609531200000,29029.04000000,29289.82000000,28880.37000000,29160.39000000,3285.77872300,1609538399999,95875459.65489153,87130,1736.55305600,50677303.31964571,0
1609538400000,29163.17000000,29338.89000000,29104.57000000,29331.69000000,2098.15928200,1609545599999,61416165.90848723,66153,1076.23314200,31507018.64457178,0
1609545600000,29331.70000000,29400.00000000,28946.53000000,29359.47000000,4530.15662800,1609552799999,132241934.34870704,97923,2207.73818800,64458296.87728831,0
1609552800000,29359.46000000,29469.00000000,29256.85000000,29351.95000000,2862.87189800,1609559999999,84074572.91834892,68202,1482.93475000,43555138.79198170,0
1609560000000,29351.95000000,29590.00000000,29220.00000000,29589.99000000,3767.58930100,1609567199999,110943718.87254686,84796,2403.24866800,70792017.09259725,0
1609567200000,29589.99000000,29820.50000000,29450.00000000,29750.00000000,6098.05354400,1609574399999,181014102.59688829,117966,3919.53442600,116364074.68385581,0
1609574400000,29751.47000000,29899.00000000,29578.05000000,29612.87000000,5546.58561600,1609581599999,165104422.84261929,118839,2675.98239400,79677268.75877334,0
1609581600000,29612.88000000,29829.00000000,29473.91000000,29755.00000000,3680.21899200,1609588799999,109265434.18224359,79037,1717.20696800,50987653.33020067,0
1609588800000,29754.99000000,31561.87000000,29741.39000000,31541.17000000,21954.99574700,1609595999999,671888388.35517585,355739,12694.12557000,388002233.99683217,0
1609596000000,31546.06000000,31800.00000000,31065.00000000,31691.29000000,12073.97765200,1609603199999,379044513.75989000,213234,6041.31793100,189685979.66197533,0
1609603200000,31691.09000000,33000.00000000,31616.42000000,32856.96000000,21834.46588700,1609610399999,709166742.15417882,349653,11105.08862000,360753370.04156778,0
1609610400000,32856.95000000,33300.00000000,32421.00000000,33027.20000000,13015.15191100,1609617599999,428355252.41152211,208514,6805.28769300,224097729.45684462,0
1609617600000,33027.20000000,33061.37000000,30300.00000000,31694.59000000,26128.40375400,1609624799999,830996272.03498819,375064,12432.69800600,395312124.93513902,0
1609624800000,31693.53000000,32311.92000000,31424.96000000,32178.33000000,8501.40243200,1609631999999,271746809.19443221,176955,3961.14203200,126648836.26008987,0
1609632000000,32176.45000000,32790.07000000,31962.99000000,32585.09000000,6747.21434800,1609639199999,218779653.11606511,134164,3529.57066700,114454643.11261920,0
1609639200000,32583.04000000,32884.09000000,32404.00000000,32573.87000000,4143.08855900,1609646399999,135387022.68709232,94441,1910.41740400,62445869.33982877,0
1609646400000,32576.11000000,34180.00000000,32450.00000000,33758.67000000,13791.14129900,1609653599999,462960557.76563630,237729,7559.35666500,253600221.85313432,0
1609653600000,33758.67000000,34778.11000000,33651.12000000,34452.34000000,12494.98499700,1609660799999,427429459.97176274,230423,6195.46581700,211869786.66767228,0
1609660800000,34451.78000000,34670.41000000,33757.29000000,34190.55000000,12199.45308400,1609667999999,417426600.44001045,225385,5693.29202900,194886703.97031237,0
1609668000000,34189.98000000,34450.00000000,33403.00000000,34413.53000000,10452.07978300,1609675199999,355150741.18013284,212780,5293.87480800,179947721.51874902,0
1609675200000,34413.53000000,34600.00000000,33800.00000000,33880.00000000,8920.02185700,1609682399999,304862074.57608903,177857,4316.82251800,147605670.06451337,0
1609682400000,33877.98000000,34150.00000000,32727.00000000,33506.62000000,14320.05532000,1609689599999,480221040.91182524,252848,6693.42575000,224540778.59502080,0
1609689600000,33505.15000000,33822.69000000,32454.73000000,32909.27000000,15431.54828800,1609696799999,510843571.96837912,264934,7525.49537000,249193878.27114092,0
1609696800000,32907.51000000,33031.57000000,32267.00000000,32772.21000000,6995.63935500,1609703999999,228576211.01303975,167778,3427.83685000,112025175.91136176,0
1609704000000,32775.10000000,33861.92000000,32727.10000000,33558.34000000,7543.74617500,1609711199999,252891702.10043187,187642,3972.12329200,133141300.71148103,0
1609711200000,33559.06000000,33661.10000000,32600.00000000,33000.05000000,7918.59368500,1609718399999,263069789.76155172,183717,3632.65170100,120716683.91601238,0
1609718400000,33000.05000000,33327.00000000,32400.25000000,33191.04000000,8182.23070300,1609725599999,268814059.16021897,179535,3957.22114700,130013974.68759429,0
1609725600000,33191.05000000,33588.00000000,32958.38000000,33505.16000000,6354.55991700,1609732799999,211650894.70142178,147720,3116.70286600,103817038.62508275,0
1609732800000,33505.15000000,33600.00000000,32802.25000000,32813.01000000,7157.73015300,1609739999999,237794108.08782539,157713,3494.73625800,116115526.58971788,0
1609740000000,32813.01000000,33408.00000000,31505.00000000,32068.84000000,14241.14175600,1609747199999,463607796.33144315,257021,7521.79324000,244981984.96821809,0
1609747200000,32068.84000000,32567.88000000,30248.85000000,31038.63000000,17801.14977900,1609754399999,560454933.89929866,298182,8037.46961500,253225701.38194143,0
1609754400000,31038.35000000,31227.33000000,28130.00000000,30743.06000000,28790.32124600,1609761599999,857362484.19975215,475811,13763.24298400,410259127.52937858,0
1609761600000,30742.99000000,31434.07000000,30454.25000000,31400.00000000,13791.53561500,1609768799999,427419475.37780456,254782,6530.12859000,202387965.63875835,0
1609768800000,31400.00000000,32185.67000000,31400.00000000,31745.72000000,12801.00383800,1609775999999,407307645.00533094,215778,6087.38723300,193672272.14643235,0
1609776000000,31745.71000000,31920.00000000,30626.36000000,31024.17000000,13136.84851200,1609783199999,409018939.91867688,230414,6801.21232100,211732918.32173709,0
1609783200000,31022.25000000,31855.75000000,31001.00000000,31665.51000000,6749.81209100,1609790399999,211706829.25787031,145153,3650.28262900,114488711.34209777,0
1609790400000,31665.52000000,31830.95000000,30856.08000000,31014.27000000,6053.41921400,1609797599999,189498497.69482288,139335,2877.19450500,90074212.00663553,0
1609797600000,31014.27000000,32031.01000000,30950.00000000,31988.71000000,5840.13286600,1609804799999,184374686.06087920,140964,3251.09784200,102665975.77939380,0
1609804800000,31989.75000000,32853.38000000,31989.74000000,32786.06000000,11954.60406000,1609811999999,388126219.27227045,210652,6864.97543300,222819864.32409578,0
1609812000000,32786.05000000,32828.26000000,31130.86000000,31200.00000000,8858.47454000,1609819199999,284244402.45702170,178271,4323.63959600,138834144.87889817,0
1609819200000,31190.04000000,31538.45000000,29900.00000000,30436.25000000,13596.46249000,1609826399999,419928183.95221669,317193,5816.17424000,179836887.26734156,0
1609826400000,30436.26000000,31312.03000000,29900.00000000,30817.77000000,9422.59468800,1609833599999,289492317.61384046,199728,4938.45465200,151524039.93549693,0
1609833600000,30817.78000000,31821.94000000,30817.78000000,31569.63000000,7172.71893600,1609840799999,225032720.00828507,180747,3769.69071700,118283512.63964830,0
1609840800000,31569.63000000,31777.00000000,31088.33000000,31776.66000000,6082.88216400,1609847999999,191338056.81877303,153787,3233.34819400,101735941.02019437,0
